route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"1",11366_11,11366_1,"KILIŃSKIEGO MOCHNACKIEGO",,1,1    /01,2417124,0,0
"1",11366_11,11366_10,"DOŁY",,0,1    /01,2417125,0,0
"1",11366_11,11366_100,"DOŁY",,0,1    /11,2417125,0,0
"14",11366_11,11366_1000,"DW. ŁÓDŹ DĄBROWA",,1,14   /03,2417220,0,0
"N1A",11366_11,11366_10000,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,N1   /51,2417847,0,0
"N1A",11366_11,11366_10001,"JANÓW",,1,N1   /51,2417846,0,0
"N1A",11366_11,11366_10002,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,N1   /51,2417847,0,0
"N1A",11366_11,11366_10003,"JANÓW",,1,N1   /51,2417846,0,0
"N1A",11366_11,11366_10004,"JANÓW",,0,N1   /53,2417843,0,0
"N1A",11366_11,11366_10006,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,N1   /53,2417847,0,0
"N1A",11366_11,11366_10007,"JANÓW",,1,N1   /53,2417846,0,0
"N1A",11366_11,11366_10008,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,N1   /53,2417847,0,0
"N1A",11366_11,11366_10009,"JANÓW",,1,N1   /53,2417846,0,0
"14",11366_11,11366_1001,"KAROLEW",,0,14   /03,2417222,0,0
"N1A",11366_11,11366_10011,"N1A ZJAZD DO LIMANOWSKIEGO",,1,N1   /53,2417844,0,0
"N1B",11366_11,11366_10012,"JANÓW",,0,N1   /52,2417853,0,0
"N1B",11366_11,11366_10014,"TEOFILÓW ROJNA",,0,N1   /52,2417852,0,0
"N1B",11366_11,11366_10015,"JANÓW",,1,N1   /52,2417851,0,0
"N1B",11366_11,11366_10016,"TEOFILÓW ROJNA",,0,N1   /52,2417852,0,0
"N1B",11366_11,11366_10017,"JANÓW",,1,N1   /52,2417851,0,0
"N1B",11366_11,11366_10018,"TEOFILÓW ROJNA",,0,N1   /54,2417850,0,0
"14",11366_11,11366_1002,"DW. ŁÓDŹ DĄBROWA",,1,14   /03,2417220,0,0
"N1B",11366_11,11366_10020,"JANÓW",,1,N1   /54,2417851,0,0
"N1B",11366_11,11366_10021,"TEOFILÓW ROJNA",,0,N1   /54,2417852,0,0
"N1B",11366_11,11366_10022,"JANÓW",,1,N1   /54,2417851,0,0
"N1B",11366_11,11366_10023,"TEOFILÓW ROJNA",,0,N1   /54,2417852,0,0
"N1B",11366_11,11366_10025,"N1B ZJAZD DO LIMANOWSKIEGO",,1,N1   /54,2417849,0,0
"N1B",11366_11,11366_10026,"TEOFILÓW ROJNA",,0,N1   /55,2417854,0,0
"N1B",11366_11,11366_10028,"JANÓW",,1,N1   /55,2417851,0,0
"N1B",11366_11,11366_10029,"TEOFILÓW ROJNA",,0,N1   /55,2417852,0,0
"14",11366_11,11366_1003,"KAROLEW",,0,14   /03,2417222,0,0
"N1B",11366_11,11366_10030,"JANÓW",,1,N1   /55,2417851,0,0
"N1B",11366_11,11366_10031,"TEOFILÓW ROJNA",,0,N1   /55,2417852,0,0
"N1B",11366_11,11366_10033,"N1B ZJAZD DO LIMANOWSKIEGO",,1,N1   /55,2417849,0,0
